num_vertices,edge_ratio,elapsed_time,weight,n_sol,n_oper,n_iter
54,0.75,2.0083802999870386,29307,4154,7,4154
55,0.125,2.0118151000060607,6293,15037,14,15037
55,0.25,2.006415099982405,12686,9622,13,9622
55,0.5,2.006288600008702,21498,5488,8,5488
55,0.75,2.0067833999928553,31503,4084,15,4084
56,0.125,2.0116252999869175,6873,14444,6,14444
56,0.25,2.0068574999750126,12281,8020,10,8020
56,0.5,2.0078521999821533,22166,4371,12,4371
56,0.75,2.006341300002532,32141,3465,12,3465
57,0.125,2.013000800012378,6872,13771,13,13771
57,0.25,2.006660999992164,13293,8319,9,8319
57,0.5,2.0071942000067793,22026,4912,6,4912
57,0.75,2.006115000025602,32589,3690,9,3690
58,0.125,2.0125645000080112,7232,12917,10,12917
58,0.25,2.0099696000106633,13024,8696,8,8696
58,0.5,2.005314999987604,23646,5116,13,5116
58,0.75,2.0079023000143934,34176,2978,8,2978
59,0.125,2.0070773999905214,7084,12930,9,12930
59,0.25,2.008880000008503,13135,4589,15,4589
59,0.5,2.0103614999970887,24266,3913,10,3913
59,0.75,2.0100403999967966,35058,2780,7,2780
60,0.125,2.0134354000038,8100,11162,10,11162
60,0.25,2.0102585999993607,14228,6797,11,6797
60,0.5,2.008376199984923,25249,3811,8,3811
60,0.75,2.012836800015066,36251,2217,8,2217
61,0.125,2.0122213999857195,7185,7847,4,7847
61,0.25,2.012676900019869,14254,4508,8,4508
61,0.5,2.012168000015663,25913,3909,13,3909
61,0.75,2.010508400009712,37306,2609,7,2609
62,0.125,2.011576500022784,7976,9547,6,9547
62,0.25,2.0096982000104617,14964,6376,5,6376
62,0.5,2.0133655999961775,27365,2310,5,2310
62,0.75,2.0109283000056166,37670,2827,8,2827
63,0.125,2.0098161999776494,8565,10693,12,10693
63,0.25,2.009748700016644,15157,5701,6,5701
63,0.5,2.0076053999946453,27533,3726,7,3726
63,0.75,2.0151110000151675,40121,1861,7,1861
64,0.125,2.009868599998299,8111,6231,10,6231
64,0.25,2.008246200013673,15022,5086,10,5086
64,0.5,2.0097665000066627,29124,3147,13,3147
64,0.75,2.007432600017637,42226,2192,6,2192
