num_vertices,edge_ratio,elapsed_time,weight,n_sol,n_oper,n_iter
47,0.25,2.0018979999877047,9046,1748,7,1748
47,0.5,2.0074814000108745,16194,868,10,868
47,0.75,2.003795300028287,22924,691,8,691
48,0.125,2.002016899990849,5401,2854,8,2854
48,0.25,2.0030440000118688,9812,1823,5,1823
48,0.5,2.0023366999812424,16753,966,6,966
48,0.75,2.0034204999974463,24163,640,6,640
49,0.125,2.002501699986169,5765,2660,11,2660
49,0.25,2.012201500008814,9689,1743,5,1743
49,0.5,2.0025951999996323,18202,954,8,954
49,0.75,2.0027514999965206,25585,755,7,755
50,0.125,2.00197680000565,5717,2949,12,2949
50,0.25,2.0023550000041723,10294,2057,10,2057
50,0.5,2.0023907000140753,18235,1062,8,1062
50,0.75,2.005100799986394,25377,731,6,731
51,0.125,2.003312700020615,6565,2693,11,2693
51,0.25,2.00231700000586,10727,1649,8,1649
51,0.5,2.0040143000078388,19596,939,6,939
51,0.75,2.005383300012909,26863,652,12,652
52,0.125,2.001954499981366,6853,2624,4,2624
52,0.25,2.0023875000188127,11544,1612,8,1612
52,0.5,2.0045692999847233,19596,926,7,926
52,0.75,2.005752199998824,28086,593,13,593
53,0.125,2.0027959999861196,6947,2467,9,2467
53,0.25,2.0027768000145443,11773,1459,9,1459
53,0.5,2.003483500011498,20676,574,7,574
53,0.75,2.0192460999824107,29559,252,8,252
54,0.125,2.0023833999875933,6746,2275,5,2275
54,0.25,2.002913400006946,12099,1025,10,1025
54,0.5,2.00399210001342,20886,518,12,518
54,0.75,2.004597199993441,29910,494,7,494
55,0.125,2.0021757999784313,7204,2283,7,2283
55,0.25,2.0030884000007063,13018,1309,6,1309
55,0.5,2.003008800005773,22278,732,4,732
55,0.75,2.003444700007094,32258,497,8,497
56,0.125,2.005961799994111,7622,2171,9,2171
56,0.25,2.0035989000170957,13290,1121,8,1121
56,0.5,2.004864299990004,22653,660,4,660
56,0.75,2.010553700005403,32539,435,3,435
57,0.125,2.0021106000058353,7680,1985,10,1985
57,0.25,2.00480019999668,14051,1134,11,1134
57,0.5,2.005269999994198,22769,657,8,657
57,0.75,2.0096951000159606,33751,435,7,435
58,0.125,2.0020917000074405,7860,1964,8,1964
58,0.25,2.0022428999945987,14226,1211,12,1211
58,0.5,2.0051136999973096,24627,660,8,660
58,0.75,2.005192899989197,34852,487,5,487
59,0.125,2.002662099985173,7646,1046,4,1046
59,0.25,2.00536040001316,14478,603,9,603
59,0.5,2.0108793000108562,25373,429,5,429
59,0.75,2.0068057000171393,34715,289,9,289
60,0.125,2.003015399997821,8893,1570,10,1570
60,0.25,2.0031386999762617,14926,919,3,919
60,0.5,2.0071166999987327,26831,510,11,510
60,0.75,2.0083511999982875,36354,203,3,203
61,0.125,2.005307499988703,8077,1080,6,1080
61,0.25,2.0029298000154085,15267,728,5,728
61,0.5,2.0075328000239097,26756,409,10,409
61,0.75,2.0134226999944076,38035,277,3,277
62,0.125,2.004440099990461,8670,1569,15,1569
62,0.25,2.0037286000151653,15560,813,3,813
62,0.5,2.005594000016572,28579,595,7,595
62,0.75,2.0090128000010736,38223,274,9,274
63,0.125,2.0028597000055015,9492,1556,7,1556
63,0.25,2.0048606999916956,15730,876,6,876
63,0.5,2.0086842000018805,28096,429,6,429
63,0.75,2.017905900022015,40449,403,8,403
64,0.125,2.0072190999926534,8959,921,6,921
64,0.25,2.0034702999982983,15467,801,6,801
64,0.5,2.005937300011283,30562,403,4,403
64,0.75,2.0076064000022598,42364,259,9,259
