num_vertices,edge_ratio,elapsed_time,weight,n_sol,n_oper
63,0.25,0.011135,15636,63,126
63,0.5,0.01749,26174,63,126
63,0.75,0.031147,38833,63,126
64,0.125,0.006087,8485,64,128
64,0.25,0.011035,15049,64,128
64,0.5,0.017456,29131,64,128
64,0.75,0.029535,40477,64,128
65,0.125,0.006972,9170,65,130
65,0.25,0.010979,16121,65,130
65,0.5,0.018446,28484,65,130
65,0.75,0.031689,41941,65,130
66,0.125,0.005756,9817,66,132
66,0.25,0.010288,17096,66,132
66,0.5,0.036824,30158,66,132
66,0.75,0.033777,44163,66,132
67,0.125,0.00705,9539,67,134
67,0.25,0.010875,16755,67,134
67,0.5,0.02155,32036,67,134
67,0.75,0.027853,44027,67,134
68,0.125,0.006696,9718,68,136
68,0.25,0.01224,16956,68,136
68,0.5,0.020116,29827,68,136
68,0.75,0.032386,43939,68,136
69,0.125,0.008513,9636,69,138
69,0.25,0.011661,17667,69,138
69,0.5,0.028181,31349,69,138
69,0.75,0.039029,46766,69,138
70,0.125,0.007468,9764,70,140
70,0.25,0.014047,17355,70,140
70,0.5,0.025714,33180,70,140
70,0.75,0.041685,49585,70,140
71,0.125,0.010842,10768,71,142
71,0.25,0.01693,19474,71,142
71,0.5,0.028651,33439,71,142
71,0.75,0.054895,49694,71,142
72,0.125,0.010114,10610,72,144
72,0.25,0.057557,18851,72,144
72,0.5,0.032296,34868,72,144
72,0.75,0.039384,51295,72,144
73,0.125,0.008617,11699,73,146
73,0.25,0.016315,19473,73,146
73,0.5,0.029938,36541,73,146
73,0.75,0.046821,52774,73,146
74,0.125,0.009522,11138,74,148
74,0.25,0.021521,21086,74,148
74,0.5,0.033471,36995,74,148
74,0.75,0.055119,54027,74,148
75,0.125,0.009313,11727,75,150
75,0.25,0.017622,22145,75,150
75,0.5,0.033355,38080,75,150
75,0.75,0.054285,55630,75,150
76,0.125,0.010773,11748,76,152
76,0.25,0.017981,22425,76,152
76,0.5,0.028688,39833,76,152
76,0.75,0.045801,56841,76,152
77,0.125,0.010221,11926,77,154
77,0.25,0.016906,21605,77,154
77,0.5,0.040251,40451,77,154
77,0.75,0.049064,56719,77,154
78,0.125,0.011628,12380,78,156
78,0.25,0.028708,22687,78,156
78,0.5,0.041769,40064,78,156
78,0.75,0.044706,59737,78,156
79,0.125,0.009303,12722,79,158
79,0.25,0.024585,22804,79,158
79,0.5,0.048312,40924,79,158
79,0.75,0.059309,61976,79,158
80,0.125,0.011779,13459,80,160
80,0.25,0.023716,23981,80,160
80,0.5,0.036339,44064,80,160
80,0.75,0.052221,63335,80,160
81,0.125,0.011243,13186,81,162
81,0.25,0.026198,25867,81,162
81,0.5,0.039891,44886,81,162
81,0.75,0.053326,64472,81,162
82,0.125,0.012951,13816,82,164
82,0.25,0.034985,24172,82,164
82,0.5,0.124214,43538,82,164
82,0.75,0.06099,66692,82,164
83,0.125,0.013487,13489,83,166
83,0.25,0.023303,25544,83,166
83,0.5,0.062985,46961,83,166
83,0.75,0.084657,66846,83,166
84,0.125,0.012054,14378,84,168
84,0.25,0.026544,24915,84,168
84,0.5,0.047266,47340,84,168
84,0.75,0.072735,67228,84,168
85,0.125,0.013705,14258,85,170
85,0.25,0.033075,24523,85,170
85,0.5,0.06088,47157,85,170
85,0.75,0.068389,69713,85,170
86,0.125,0.016112,14534,86,172
86,0.25,0.038198,26571,86,172
86,0.5,0.06985,48256,86,172
86,0.75,0.090876,71838,86,172
87,0.125,0.021993,13987,87,174
87,0.25,0.040668,28091,87,174
87,0.5,0.067416,50094,87,174
87,0.75,0.079768,75679,87,174
88,0.125,0.012019,15075,88,176
88,0.25,0.023504,28621,88,176
88,0.5,0.043874,51331,88,176
88,0.75,0.071749,73452,88,176
89,0.125,0.014346,16770,89,178
89,0.25,0.033436,29193,89,178
89,0.5,0.067727,50647,89,178
89,0.75,0.0905,76909,89,178
90,0.125,0.019965,16968,90,180
90,0.25,0.035212,30181,90,180
90,0.5,0.066172,53653,90,180
90,0.75,0.077711,79362,90,180
91,0.125,0.033332,16140,91,182
91,0.25,0.044111,30441,91,182
91,0.5,0.070243,56559,91,182
91,0.75,0.101126,80413,91,182
92,0.125,0.026609,16558,92,184
92,0.25,0.068638,30671,92,184
92,0.5,0.133486,56286,92,184
92,0.75,0.134869,82629,92,184
93,0.125,0.021156,17626,93,186
93,0.25,0.091332,32279,93,186
93,0.5,0.057661,59482,93,186
93,0.75,0.080542,83245,93,186
94,0.125,0.029685,16854,94,188
94,0.25,0.041705,32603,94,188
94,0.5,0.080713,60958,94,188
94,0.75,0.128119,84505,94,188
95,0.125,0.02006,17107,95,190
95,0.25,0.040753,33848,95,190
95,0.5,0.077699,60260,95,190
95,0.75,0.112495,85650,95,190
96,0.125,0.029764,18002,96,192
96,0.25,0.0773,32232,96,192
96,0.5,0.113296,62963,96,192
96,0.75,0.130691,88995,96,192
97,0.125,0.024349,18424,97,194
97,0.25,0.055525,35678,97,194
97,0.5,0.087655,61932,97,194
97,0.75,0.120187,87859,97,194
98,0.125,0.03243,18081,98,196
98,0.25,0.046584,34104,98,196
98,0.5,0.091971,64229,98,196
98,0.75,0.123322,94106,98,196
99,0.125,0.027851,17210,99,198
99,0.25,0.052027,35145,99,198
99,0.5,0.088687,67329,99,198
99,0.75,0.107414,95126,99,198
100,0.125,0.045372,19645,100,200
100,0.25,0.052128,36439,100,200
100,0.5,0.080198,67580,100,200
100,0.75,0.147383,96937,100,200
101,0.125,0.02546,19098,101,202
101,0.25,0.05806,37050,101,202
101,0.5,0.160751,68479,101,202
101,0.75,0.142102,96310,101,202
102,0.125,0.021984,21028,102,204
102,0.25,0.046774,37733,102,204
102,0.5,0.074165,69601,102,204
102,0.75,0.095377,101236,102,204
103,0.125,0.019234,19617,103,206
103,0.25,0.044757,37067,103,206
103,0.5,0.067764,73024,103,206
103,0.75,0.096375,103872,103,206
104,0.125,0.021037,20011,104,208
104,0.25,0.041475,37960,104,208
104,0.5,0.073173,74273,104,208
104,0.75,0.119064,106329,104,208
105,0.125,0.025551,21129,105,210
105,0.25,0.069628,38582,105,210
105,0.5,0.089358,72335,105,210
105,0.75,0.124615,106111,105,210
106,0.125,0.027066,20995,106,212
106,0.25,0.054722,42326,106,212
106,0.5,0.085973,76186,106,212
106,0.75,0.107037,108158,106,212
107,0.125,0.023634,21770,107,214
107,0.25,0.043543,39762,107,214
107,0.5,0.09185,74838,107,214
107,0.75,0.112316,108257,107,214
108,0.125,0.023449,20284,108,216
108,0.25,0.036443,41370,108,216
108,0.5,0.070899,76849,108,216
108,0.75,0.112414,111829,108,216
109,0.125,0.021853,22507,109,218
109,0.25,0.038181,41107,109,218
109,0.5,0.070871,79932,109,218
109,0.75,0.105751,113147,109,218
110,0.125,0.020918,22540,110,220
110,0.25,0.047224,41641,110,220
110,0.5,0.076886,79696,110,220
110,0.75,0.104371,118053,110,220
111,0.125,0.025196,22947,111,222
111,0.25,0.06769,46282,111,222
111,0.5,0.120819,83048,111,222
111,0.75,0.120988,119753,111,222
112,0.125,0.025418,23107,112,224
112,0.25,0.040001,43367,112,224
112,0.5,0.07395,83244,112,224
112,0.75,0.12565,122487,112,224
113,0.125,0.025179,22900,113,226
113,0.25,0.05237,43562,113,226
113,0.5,0.089596,82843,113,226
113,0.75,0.12421,122889,113,226
114,0.125,0.023706,24765,114,228
114,0.25,0.053578,45032,114,228
114,0.5,0.082932,85784,114,228
114,0.75,0.120936,124926,114,228
115,0.125,0.026237,25054,115,230
115,0.25,0.084417,44720,115,230
115,0.5,0.084993,86398,115,230
115,0.75,0.127559,126156,115,230
116,0.125,0.03779,25522,116,232
116,0.25,0.073601,46066,116,232
116,0.5,0.128238,87862,116,232
116,0.75,0.162376,129005,116,232
117,0.125,0.033948,25752,117,234
117,0.25,0.073884,47693,117,234
117,0.5,0.116584,89906,117,234
117,0.75,0.154897,130797,117,234
118,0.125,0.028747,25558,118,236
118,0.25,0.056774,49602,118,236
118,0.5,0.094535,94039,118,236
118,0.75,0.148852,134216,118,236
119,0.125,0.036344,26202,119,238
119,0.25,0.098806,49679,119,238
119,0.5,0.134211,93248,119,238
119,0.75,0.155446,138695,119,238
120,0.125,0.026171,27396,120,240
120,0.25,0.049152,51692,120,240
120,0.5,0.109486,94269,120,240
120,0.75,0.180116,137844,120,240
121,0.125,0.028536,27849,121,242
121,0.25,0.077214,50572,121,242
121,0.5,0.094353,95246,121,242
121,0.75,0.139153,140789,121,242
122,0.125,0.029462,27145,122,244
122,0.25,0.053699,50616,122,244
122,0.5,0.101989,96890,122,244
122,0.75,0.149512,144355,122,244
123,0.125,0.029444,28819,123,246
123,0.25,0.096228,53857,123,246
123,0.5,0.110223,99312,123,246
123,0.75,0.196409,142978,123,246
124,0.125,0.03316,28371,124,248
124,0.25,0.065245,55412,124,248
124,0.5,0.138974,103278,124,248
124,0.75,0.169485,149346,124,248
125,0.125,0.049263,27274,125,250
125,0.25,0.072181,54172,125,250
125,0.5,0.11321,102461,125,250
125,0.75,0.177075,148403,125,250
126,0.125,0.031041,28351,126,252
126,0.25,0.073141,55128,126,252
126,0.5,0.11472,105450,126,252
126,0.75,0.163683,150792,126,252
127,0.125,0.033502,29057,127,254
127,0.25,0.076433,55632,127,254
127,0.5,0.132664,105599,127,254
127,0.75,0.193925,155900,127,254
128,0.125,0.039417,31573,128,256
128,0.25,0.089796,58974,128,256
128,0.5,0.131644,105664,128,256
128,0.75,0.205556,156613,128,256
129,0.125,0.040071,30400,129,258
129,0.25,0.067678,57473,129,258
129,0.5,0.134311,106638,129,258
129,0.75,0.179858,161753,129,258
130,0.125,0.041156,30144,130,260
130,0.25,0.0718,56948,130,260
130,0.5,0.131446,107692,130,260
130,0.75,0.184908,160811,130,260
131,0.125,0.038369,31516,131,262
131,0.25,0.072486,57826,131,262
131,0.5,0.146962,111730,131,262
131,0.75,0.188191,162059,131,262
132,0.125,0.064185,30822,132,264
132,0.25,0.108699,61759,132,264
132,0.5,0.175698,114096,132,264
132,0.75,0.266185,170906,132,264
133,0.125,0.042719,33071,133,266
133,0.25,0.138096,61275,133,266
133,0.5,0.169918,116493,133,266
133,0.75,0.214123,172296,133,266
134,0.125,0.042429,32417,134,268
134,0.25,0.071274,63458,134,268
134,0.5,0.132071,117682,134,268
134,0.75,0.196051,169817,134,268
135,0.125,0.047211,34637,135,270
135,0.25,0.077416,64722,135,270
135,0.5,0.15151,116977,135,270
135,0.75,0.229275,178564,135,270
136,0.125,0.044162,32346,136,272
136,0.25,0.074037,64490,136,272
136,0.5,0.136886,121895,136,272
136,0.75,0.2007,178759,136,272
137,0.125,0.052068,33740,137,274
137,0.25,0.138477,64038,137,274
137,0.5,0.168734,122529,137,274
137,0.75,0.233525,181420,137,274
138,0.125,0.043929,35590,138,276
138,0.25,0.071811,64558,138,276
138,0.5,0.15237,125549,138,276
138,0.75,0.211129,182562,138,276
139,0.125,0.048229,37531,139,278
139,0.25,0.07731,67948,139,278
139,0.5,0.161492,126218,139,278
139,0.75,0.225809,190506,139,278
140,0.125,0.048633,35830,140,280
140,0.25,0.080395,69052,140,280
140,0.5,0.157799,132547,140,280
140,0.75,0.215975,187720,140,280
141,0.125,0.051497,34600,141,282
141,0.25,0.0759,70191,141,282
141,0.5,0.172294,132770,141,282
141,0.75,0.256694,189875,141,282
142,0.125,0.041711,36042,142,284
142,0.25,0.08912,69272,142,284
142,0.5,0.178803,130461,142,284
142,0.75,0.346767,195196,142,284
143,0.125,0.052324,37299,143,286
143,0.25,0.085322,69369,143,286
143,0.5,0.171857,133052,143,286
143,0.75,0.257297,198698,143,286
144,0.125,0.047238,36709,144,288
144,0.25,0.097684,70274,144,288
144,0.5,0.177105,134427,144,288
144,0.75,0.274697,197092,144,288
145,0.125,0.045818,38794,145,290
145,0.25,0.10582,71326,145,290
145,0.5,0.183936,137410,145,290
145,0.75,0.249142,199567,145,290
146,0.125,0.046511,36728,146,292
146,0.25,0.126103,74464,146,292
146,0.5,0.198314,139841,146,292
146,0.75,0.28904,202454,146,292
147,0.125,0.050245,38942,147,294
147,0.25,0.093587,73141,147,294
147,0.5,0.168699,143864,147,294
147,0.75,0.244288,201929,147,294
