num_vertices,edge_ratio,elapsed_time,weight,n_sol,n_oper
83,0.75,0.070855,68115,83,166
84,0.125,0.014112,13355,84,168
84,0.25,0.031099,26004,84,168
84,0.5,0.05675,49222,84,168
84,0.75,0.068086,68233,84,168
85,0.125,0.014313,12634,85,170
85,0.25,0.027342,25986,85,170
85,0.5,0.042416,47811,85,170
85,0.75,0.069466,69615,85,170
86,0.125,0.014516,13592,86,172
86,0.25,0.042449,27036,86,172
86,0.5,0.075129,47616,86,172
86,0.75,0.11963,70844,86,172
87,0.125,0.036892,14223,87,174
87,0.25,0.044225,27517,87,174
87,0.5,0.063685,51723,87,174
87,0.75,0.094248,73386,87,174
88,0.125,0.014892,14333,88,176
88,0.25,0.030852,28013,88,176
88,0.5,0.056904,53279,88,176
88,0.75,0.085525,75600,88,176
89,0.125,0.020124,16736,89,178
89,0.25,0.033358,29552,89,178
89,0.5,0.098648,52417,89,178
89,0.75,0.117835,78618,89,178
90,0.125,0.019446,14811,90,180
90,0.25,0.034235,31364,90,180
90,0.5,0.092869,53637,90,180
90,0.75,0.139628,78951,90,180
91,0.125,0.025629,16742,91,182
91,0.25,0.045643,31017,91,182
91,0.5,0.080842,57678,91,182
91,0.75,0.154949,82391,91,182
92,0.125,0.026009,14525,92,184
92,0.25,0.085361,30596,92,184
92,0.5,0.123442,57094,92,184
92,0.75,0.11795,82978,92,184
93,0.125,0.028092,16963,93,186
93,0.25,0.038712,30287,93,186
93,0.5,0.064373,60500,93,186
93,0.75,0.086721,84657,93,186
94,0.125,0.024995,15707,94,188
94,0.25,0.044514,31314,94,188
94,0.5,0.091453,60539,94,188
94,0.75,0.118715,85996,94,188
95,0.125,0.02455,17544,95,190
95,0.25,0.040555,32825,95,190
95,0.5,0.082124,58604,95,190
95,0.75,0.15521,90207,95,190
96,0.125,0.041517,17505,96,192
96,0.25,0.099816,32094,96,192
96,0.5,0.106691,63409,96,192
96,0.75,0.20911,90667,96,192
97,0.125,0.026643,17506,97,194
97,0.25,0.069753,34115,97,194
97,0.5,0.105984,62152,97,194
97,0.75,0.131451,89632,97,194
98,0.125,0.032613,17865,98,196
98,0.25,0.057502,32948,98,196
98,0.5,0.083696,63703,98,196
98,0.75,0.137855,91632,98,196
99,0.125,0.029429,17184,99,198
99,0.25,0.047167,36676,99,198
99,0.5,0.09021,68005,99,198
99,0.75,0.114611,94815,99,198
100,0.125,0.026515,19385,100,200
100,0.25,0.052364,36148,100,200
100,0.5,0.083814,67474,100,200
100,0.75,0.122467,99233,100,200
101,0.125,0.032424,18238,101,202
101,0.25,0.050015,35645,101,202
101,0.5,0.094624,68776,101,202
101,0.75,0.121383,96850,101,202
102,0.125,0.025233,21403,102,204
102,0.25,0.041678,36344,102,204
102,0.5,0.099951,69310,102,204
102,0.75,0.097284,98963,102,204
103,0.125,0.024117,19750,103,206
103,0.25,0.042942,37786,103,206
103,0.5,0.077077,72687,103,206
103,0.75,0.107944,104903,103,206
104,0.125,0.022203,20450,104,208
104,0.25,0.043715,38551,104,208
104,0.5,0.074491,72897,104,208
104,0.75,0.127033,104722,104,208
105,0.125,0.036,21133,105,210
105,0.25,0.063282,37999,105,210
105,0.5,0.086971,71849,105,210
105,0.75,0.143357,105282,105,210
106,0.125,0.035323,21483,106,212
106,0.25,0.044909,39719,106,212
106,0.5,0.08452,74057,106,212
106,0.75,0.123527,106042,106,212
107,0.125,0.022081,21117,107,214
107,0.25,0.044017,41113,107,214
107,0.5,0.082508,77821,107,214
107,0.75,0.121527,110203,107,214
108,0.125,0.024629,21311,108,216
108,0.25,0.042004,41830,108,216
108,0.5,0.081117,77302,108,216
108,0.75,0.121195,109845,108,216
109,0.125,0.025369,21258,109,218
109,0.25,0.039241,41895,109,218
109,0.5,0.075771,80017,109,218
109,0.75,0.109658,115208,109,218
110,0.125,0.025734,22660,110,220
110,0.25,0.044656,42977,110,220
110,0.5,0.085129,80186,110,220
110,0.75,0.113703,118349,110,220
111,0.125,0.023813,22508,111,222
111,0.25,0.066575,41617,111,222
111,0.5,0.0929,81533,111,222
111,0.75,0.14119,119744,111,222
112,0.125,0.024007,24331,112,224
112,0.25,0.046362,45322,112,224
112,0.5,0.085333,82988,112,224
112,0.75,0.13437,120269,112,224
113,0.125,0.028139,24179,113,226
113,0.25,0.050602,42374,113,226
113,0.5,0.121348,83101,113,226
113,0.75,0.11894,125503,113,226
114,0.125,0.02627,23621,114,228
114,0.25,0.067774,45430,114,228
114,0.5,0.085652,86281,114,228
114,0.75,0.185315,125457,114,228
115,0.125,0.028149,23816,115,230
115,0.25,0.050037,46961,115,230
115,0.5,0.10392,86087,115,230
115,0.75,0.159964,126948,115,230
116,0.125,0.041188,25436,116,232
116,0.25,0.078442,46373,116,232
116,0.5,0.122674,86726,116,232
116,0.75,0.146096,129140,116,232
117,0.125,0.027812,26362,117,234
117,0.25,0.075367,49811,117,234
117,0.5,0.118078,88856,117,234
117,0.75,0.184566,129815,117,234
118,0.125,0.031113,25838,118,236
118,0.25,0.072312,49925,118,236
118,0.5,0.104989,93225,118,236
118,0.75,0.15651,134083,118,236
119,0.125,0.036693,25493,119,238
